id,name,club
5789007,Stevan Jovetić,Omonoia
7452450,Raúl Albiol,Pisa
7456688,Santi Cazorla,Oviedo
7458272,Sergio Ramos,-
7458500,Lionel Messi,Inter Miami
7640132,Sunil Chhetri,Bengaluru
7744865,Boaz,Persipura
7842939,Birkir Már Sævarsson,Nacka FC
7990060,Matteo Darmian,Blu-neri
8053234,Igor Akinfeev,CSKA Moscow
8156635,Denis Odoi,NAC Breda
8167246,Simon Mignolet,Club Brugge
8169215,Axel Witsel,Girona
8169425,Dries Mertens,-
8428653,Hugo Lloris,LAFC
78089358,Sebastián Cáceres,Club América
78090138,Darwin Núñez,Al-Hilal
78093159,Maximiliano Araújo,Sporting CP
78095755,Emiliano Martínez,SEP
78097218,Martín Satriano,Getafe
79010306,Gustavo Gómez,SEP
79012588,Ángel Romero,Boca
79013323,Bruno Valdez,-
79024221,Junior Alonso,ATM
79024232,Miguel Almirón,Atlanta United
79027217,Omar Alderete,Sunderland
79034187,Julio Enciso,Strasbourg
79035283,Matías Galarza,River Plate
79035287,Fabrizio Peralta,Cerro Porteño
80001123,Gabriel Achilier,-
80028885,Amir Murillo,Beşiktaş
80033240,Adalberto Carrasquilla,Pumas
81001828,Kemar Lawrence,-
81002616,Andre Blake,Philadelphia
82060853,Levi Garcia,Spartak Moscow
82081864,Ivanildo Misidjan,Kéthel Spaland
45030287,Yoshinori Muto,Kobe
45030495,Takahiro Ohgihara,Kobe
45030953,Wataru Endo,Liverpool
45035684,Yuto Suzuki,Shonan
45058248,Yuichi Maruyama,Kawasaki-F
45060093,Sho Sasaki,Hiroshima
45064891,Takumi Minamino,AS Monaco
45078327,Takuma Asano,Mallorca
45087808,Shota Fukuoka,G-Osaka
45088313,Sho Inagaki,Nagoya
45092658,Ko Itakura,Ajax
45092714,Daichi Kamada,Crystal Palace
45095490,Takehiro Tomiyasu,Ajax
45095577,Ritsu Doan,Eintracht Frankfurt
45100936,Koki Ogawa,N.E.C.
45100938,Takuma Ominami,OH Leuven
45100977,Yuki Kakita,Kashiwa
45101991,Yota Maejima,Fukuoka
45104245,Ao Tanaka,Leeds
45104608,Takefusa Kubo,Real San Sebastián
45107600,Taichi Hara,FC St. Pauli
2000314454,Saviola Simons,AZ
2000314455,Iain de Jongh,AZ
2000314468,Thuto Mojanaga,Almere City
2000314469,Teun van der Ent,-
2000314470,Jayden Spier,Willem II
2000318205,Rik Suur,Sparta Rotterdam
2000321317,Jay de Jesus,Go Ahead Eagles
2000322395,Djimiro Pietersz,Sparta Rotterdam
2000324212,Scott Jr. Calderwood,PEC Zwolle
2000327296,Lucas Sanabria,LA Galaxy
2000327677,Jesse Hellinga,sc Heerenveen
2000329340,Philip Holseter-Karlsen,PSV
2000329832,Lars de Wit,FC Volendam
2000330201,Kennet Eichhorn,Hertha BSC
2000330773,Yang Min-Hyeok,Coventry
2000330855,Kerim Alajbegović,FC RB Salzburg
2000331191,Leon Valeev,Fortuna Sittard
2000332492,Jesaja Mustapha,N.E.C.
2000334710,Daniel Johan Skaarud,Ajax
2000335245,Sydney Osazuwa,AZ
2000529406,Bigas Broekmans,Fortuna Sittard
2000529411,Vince ter Schiphorst,Fortuna Sittard
2000529423,Jason Oostwegel,Fortuna Sittard
2000529426,Finn van Pol,Fortuna Sittard
2000529433,Kevin van Burgsteden,Fortuna Sittard
2000529450,Tevin Andrew,Fortuna Sittard
2000530040,Tom Vlietstra,Vitesse
2000530301,Noah Tamsamani,Vitesse
2000530339,Geronimo Venloo,FC Utrecht
2000530347,Mohammed Nour Bouhilal,FC Utrecht
2000530349,Victor van der Aa,FC Utrecht
2000530389,Nick de Vos,FC Utrecht
2000530392,Amin Ajdiri,FC Utrecht
2000530396,Tyrell Dendoe,FC Utrecht
2000530487,Ties van der Maat,PEC Zwolle
2000530570,Wieger Beens,PEC Zwolle
2000530597,Rocky Herrera,PEC Zwolle
2000530608,Levi van Beekhuizen,PEC Zwolle
2000531038,Léni Strouwen,Club Brugge
2000531329,Dani Tijman,Go Ahead Eagles
2000531389,Christian Gaander,N.E.C.
28106687,Eddie Nketiah,Crystal Palace
28124569,Tino Livramento,Newcastle
29175220,Morgan Gibbs-White,Nott'm Forest
62012567,Stefan Savić,Trabzonspor
92017506,Odysseas Vlachodimos,Sevilla
12092528,Datro Fofana,Strasbourg
53143395,Jørgen Strand Larsen,Crystal Palace
67259880,Rodrigo Riquelme,Real Hispalis
19342183,Evanilson,Bournemouth
47022611,Stole Dimitrievski,Valencia
37060922,Joshua Zirkzee,Man Utd
2000011147,Miloš Kerkez,Liverpool
2000035036,Alejandro Garnacho,Chelsea
67196188,Mario Hermoso,AS Roma
43426047,Destiny Udogie,Spurs
92079338,Ridle Baku,RB Leipzig
37063774,Sam Beukema,Parthenope
92065436,Tim Kleindienst,Borussia M'gladbach
37064720,Lutsharel Geertruida,Sunderland
91207281,Maximilian Beier,Borussia Dortmund
91182849,Lazar Samardžić,Bergamo
91156033,Zack Steffen,Colorado
91147345,Robin Koch,Eintracht Frankfurt
91143491,Nadiem Amiri,1.FSV Mainz 05
91132680,Benjamin Henrichs,RB Leipzig
91124144,Julian Weigl,Al-Qadsiah
85145065,Denis Bouanga,LAFC
37073317,Kenneth Taylor,Celesti
85128159,Tanguy Ndombele,OGC Nice
85122274,Olivier Ntcham,Samsunspor
38039385,Roland Sallai,Galatasaray
62195758,Nikola Krstović,Bergamo
63025710,Denis Vavro,VfL Wolfsburg
37004721,Jeffrey Gouweleeuw,FC Augsburg
11035674,Ernest Muçi,Trabzonspor
91178612,Chris Führich,VfB Stuttgart
43207763,Michael Folorunsho,Cagliari
2000102619,Gustavo Puerta,R. Santander
29022550,Jeroen Zoet,AZ
2000061312,Luca Koleosho,Paris FC
78084523,Agustín Canobbio,FLU
29165730,Danny Namaso,Auxerre
37055853,Dani de Wit,FC Utrecht
16010163,Aleksandar Dragović,FK Austria Vienna
2000212020,Maroan Sannadi,A. Bilbao
2000127879,Rayane Bounida,Ajax
2000290285,Artem Stepanov,FC Utrecht
2000013602,Mohamed Sankoh,VfB Stuttgart II
37018900,Bryan Smeets,MVV Maastricht
2000018852,Luc Marijnissen,Dender EH
12055780,Ali Abdi,OGC Nice
2000111594,Caleb Wiley,Chelsea
37040223,Mitchell Paulissen,Roda JC
2000219431,Ayoub Oufkir,AZ
83278923,Kevin Serna,FLU
86075794,Pedro Vite,Pumas
37058054,Sherel Floranus,PEC Zwolle
2000130424,Matěj Šín,AZ
37069330,Pelle Boevink,SpVgg Greuther Fürth
91172534,Franck Evina,FC Emmen
2000223680,Jahlil Lioe-Anjie,FC Volendam
2000350891,Mark Engel,Ajax
2000432999,Björn Mellema,PEC Zwolle
2000226977,Floris Bos,PSV
2000396952,Igor,-
2000228649,Mark Hoekstra,FC Groningen
37065692,Jarno Janssen,IJsselmeervogels
2000422879,Jael Pawirodihardjo,MVV Maastricht
2000193729,Shedrach Ebite,FC Utrecht
2000227098,Amir Ismaïl,sc Heerenveen
2000485718,Oliver Nieboer,Ajax
2000192740,Joey de Ruijter,FC Volendam
37060937,Nordin Musampa,-
37071081,Victor van den Bogert,Katwijk
2000235899,Maik Poeketie,FC Twente/Heracles Academie
2000433481,Sami Chaiat,PEC Zwolle
2000379775,Hayden Henry,Fortuna Sittard
2000512258,Milan Westerhuis,PEC Zwolle
2000414623,Jaden Walden,FC Utrecht
2000381319,Redwan Fatih,NAC Breda
37085008,Ilyas Bougafer,Yacoub Mansour
2000381561,Rami Gtari,Go Ahead Eagles
37071748,Kyvon Leidsman,Liepāja
2000191390,Jayden Davelaar,Helmond Sport
2000460503,Job ter Burg,sc Heerenveen
2000144946,Rayvian Job,Excelsior
2000511475,Jamie Luca Kooymans,FC Dordrecht
37058833,Jesse Schuurman,IJsselmeervogels
2000385664,Damian Boon,FC Twente
2000434741,Tyran Ottens,FC Volendam
2000492019,Robyn Ashamu,AFC Wimbledon
2000223446,Lars van Gerner,Berkum
2000492002,Josh Brian,AFC Wimbledon
2000492004,Dwayne Campbell,AFC Wimbledon
2000492003,Finlay Fraser-Smith,AFC Wimbledon
2000492017,Alfie Quinn,AFC Wimbledon
2000502823,Koen Nijkamp,DOS '37
37047762,Jorran van Santen,-
2000144942,Ismael Lazrek,-
29141155,Michael Carberry,Prescot
2000389798,Tom Piers,-
2000381320,Safouane Benzahra,AS Monaco
27143822,Patrick Dam,BK Skjold
2000519719,Rayyan Koubini,Telstar
2000519942,King Duah,PSV
2000287924,Frederick Reuter,Farense
2000287922,Kenji Goes,FC Utrecht
2000350904,Haniël Pereira da Gama,N.E.C.
2000522137,Bianief Peters,Ajax
2000528339,Thyrone Lucas,N.E.C.
2000529398,Amir Ammi,Fortuna Sittard
2000353444,Moreno Gompel,Sparta Rotterdam
37000625,Gaston Salasiwa,Fortuna Wormerveer
2000228585,Marco Speelman,FC Groningen
2000274114,Wisdom Treffers,NAC Breda
2000203757,Olivier van Zijl,Sparta Rotterdam
2000144510,Mostapha Rached,NAC Breda
2000511315,Niño Schepers,PEC Zwolle
37069860,Bradley Vliet,-
2000155979,Hasip Korkmazyürek,Fortuna Sittard
2000427685,Anton Martynyuk,PSV
2000054492,Nigel Marengo,Fortuna Sittard
37045761,Tarik Kada,-
2000382100,Yannick Gerritsen,FC Twente
2000182969,Lars Van Parys,Fortuna Sittard
2000442878,Hidde Hellinga,sc Heerenveen
2000143553,Chiel Olde Keizer,Vitesse
2000495390,Jahmael Ampofo,AZ
2000350905,Luca Messori,Ajax
37058299,Lars ten Teije,Scherpenzeel
2000054506,Jordan Zirkzee,NAC Breda
2000054489,Nesto Groen,Excelsior
2000297774,Shane Kluivert,Barcelona
2000053448,Nando Verdoni,Go Ahead Eagles
2000308184,Key-Shawn Wong-A-Soij,FC Volendam
2000308663,Owen Panneflek,FC Twente/Heracles Academie
18090151,Jasper van Heertum,-
2000308666,Kai Jansen,sc Heerenveen
2000336990,Luc Nieuwenhuijs,Sparta Rotterdam
2000048774,Alan Minda,ATM
37079080,Jorn Berkhout,SC Cambuur
37079079,Misha Engel,Almere City
37052766,Luc Mares,HamKam
37065691,Don Bolsius,Perugia
2000056956,Yusri El Kandoussi,Kavala
2000069396,Erald Krasniqi,sc Heerenveen
37048152,Shaquill Sno,Karvan FK
37065563,Reda Akmum,FC Den Bosch
37047741,Justin Mathieu,TOP Oss
37046161,Javier Vet,Ajax Amateurs
37045582,Vince Gino Dekker,-
18115742,Lynnt Audoor,Club Brugge
2000105653,Gabriël Reiziger,PEC Zwolle
2000087791,Milan Smit,Stoke
2000110029,Gerald Alders,Telstar
2000130679,Pablo Monroy,Pumas
37010039,Pele van Anholt,TEC
37058365,Boyd Reith,Almere City
37077952,Evan Rottier,ADO Den Haag
2000244866,Oscar Sjöstrand,SC Cambuur
37077862,Gibson Yah,FC Volendam
2000010105,Joel Ideho,FC Volendam
2000128989,Roy Steur,FC Volendam
37084876,Casper Staring,FC Emmen
37084892,Sem Scheperman,Heracles Almelo
76043634,Álvaro Angulo,Pumas
37053077,Joey Groenbast,-
2000020333,Olivier Aertssen,PEC Zwolle
37076179,Aimé Omgba,KAA Gent
37013324,Kelle Roos,Kilmarnock
37024801,Luciano Slagveer,TOP Oss
14136117,David Martínez,Defensa y Justicia
20046469,Efraín Álvarez,Chivas
27139575,Jacob Trenskow,sc Heerenveen
37024896,Kevin van Veen,FC Eindhoven
55041557,Jonas Mendes,Zürich City
53189551,Oskar Sivertsen,Go Ahead Eagles
2000118364,Sem van Duijn,Telstar
51063385,Gilberto Sepúlveda,Chivas
37020045,Arsenio Valpoort,Unicum
37019509,Anthony van den Hurk,Roda JC
37072840,Ibrahim Cissoko,Bolton
2000283330,Mateo Chávez,AZ
19270232,Hugo Souza,COR
37088234,Emanuel Emegha,Strasbourg
86040729,Yeferson Soteldo,FLU
83215595,Kevin Pina,Krasnodar
36023442,Alexandros Paschalakis,Olympiacos
2000091517,Jorne Spileers,Club Brugge
19261503,Nino,Zenit
37017526,Jens Toornstra,Sparta Rotterdam
33066648,Paul Akouokou,Zaragoza
64005065,Jasmin Kurtić,Olimpija
37079279,Naci Ünüvar,Heracles Almelo
37052471,Philippe Sandler,N.E.C.
86066845,Ángelo Preciado,ATM
37017669,Mitchell te Vrede,Ajax Amateurs
37063645,Mitchel Bakker,Bergamo
28127875,Carney Chukwuemeka,Borussia Dortmund
92071707,Alexander Nübel,VfB Stuttgart
58147629,Eduard Spertsyan,Krasnodar
58092242,Alexey Miranchuk,Atlanta United
2000165617,Kike Salas,Sevilla
92027981,Jonas Hofmann,Bayer 04 Leverkusen
55070289,Matheus Pereira,CEC
67256515,Antonio Blanco,Alavés
13211267,Abdul Fatawu,Leicester
13227048,Hicham Boudaoui,OGC Nice
55027761,Mário Rui,-
67258414,Sergio Gómez,Real San Sebastián
53180825,Christos Zafeiris,PAOK
2000339863,Caleb Yirenkyi,FC Nordsjælland
85139014,Kylian Mbappé,R. Madrid
29179241,Erling Haaland,Man City
67217524,Rodri,Man City
28049320,Harry Kane,FC Bayern München
55041632,Bernardo Silva,Man City
37024025,Virgil van Dijk,Liverpool
98028755,Mohamed Salah,Liverpool
19302146,Vinícius Júnior,R. Madrid
18004457,Kevin De Bruyne,Parthenope
29232937,Jude Bellingham,R. Madrid
18026122,Thibaut Courtois,R. Madrid
92039023,Joshua Kimmich,FC Bayern München
67293495,Pedri,Barcelona
653054,Luka Modrić,Casciavit
19024412,Neymar,SAN
59006269,Henrikh Mkhitaryan,Blu-neri
75001932,Charles Aránguiz,Univ. de Chile
91151081,Kai Havertz,Arsenal
29156522,Ebere Eze,Arsenal
98003821,Granit Xhaka,Sunderland
18007344,Romelu Lukaku,Parthenope
43161651,Federico Chiesa,Liverpool
16202373,Dominik Szoboszlai,Liverpool
49062667,Hugo Ekitiké,Liverpool
48043873,Randal Kolo Muani,Spurs
28054565,Jordan Pickford,Everton
43143488,Federico Dimarco,Blu-neri
67216396,Fabián,Paris SG
78085068,Ronald Araujo,Barcelona
28116386,Anthony Gordon,Newcastle
28106999,Brahim Díaz,R. Madrid
85093001,Thomas Lemar,Girond
67295650,Yeremy Pino,Crystal Palace
67296654,Alejandro Balde,Barcelona
43270517,Nicolò Zaniolo,Udinese
86066853,Piero Hincapié,Arsenal
28049740,Harry Maguire,Man Utd
24060473,Joško Gvardiol,Man City
49056279,Rayan Cherki,Man City
49039789,Loïc Badé,Bayer 04 Leverkusen
43036641,Jorginho,FLA
67157624,Kepa Arrizabalaga,Arsenal
43125343,Mattia Zaccagni,Celesti
83169864,Nuno Tavares,Celesti
2000058198,Marc Casadó,Barcelona
43270682,Alessandro Buongiorno,Parthenope
14172522,Thiago Almada,A. Madrid
67178152,Pau López,Real Hispalis
93023425,Victor Lindelöf,Aston Villa
14180903,Mateo Retegui,Al-Qadsiah
43094553,Domenico Berardi,Sassuolo
43094100,Lorenzo Pellegrini,AS Roma
83152910,Galeno,Al-Ahli
78040720,Matías Vecino,Vigo
28124573,Levi Colwill,Chelsea
2000054263,Bryan Zaragoza,Vigo
19377206,Luiz Henrique,Zenit
19380090,Rômulo,RB Leipzig
29189400,Brennan Johnson,Crystal Palace
29192705,Pote,Sporting CP
19409389,Thiago,Brentford
83137935,Francisco Trincão,Sporting CP
20046423,Brenden Aaronson,Leeds
30035411,Hamari Traoré,Paris FC
43317933,Hamed Traoré,Olympique de Marseille
43316850,Giacomo Raspadori,Bergamo
45109174,Hidemasa Morita,Sporting CP
45109175,Yasuto Wakizaka,Kawasaki-F
43298002,Marco Carnesecchi,Bergamo
29127852,Lewis Cook,Bournemouth
29141175,Luca De La Torre,Charlotte FC
2000311833,Yan Diomandé,RB Leipzig
29162667,Marcus Tavernier,Bournemouth
29178504,Djed Spence,Spurs
29186052,Matt O'Riley,Brighton
29219115,Flavien-Enzo Boyomo,Atlético Pamplona
33001438,Lukás Hrádecký,AS Monaco
34009930,Cédric Bakambu,Real Hispalis
35015916,Eric Maxim Choupo-Moting,New York
36116501,Konstantinos Mavropanos,West Ham
36514846,Steve Mounié,Alanyaspor
2000262919,Luka Vušković,Hamburger SV
2000238992,Kota Tawaratsumida,FC Tokyo
67184140,Álvaro García,Vallecano
53170352,Osame Sahraoui,LOSC
2000107424,Roger Fernandes,Al-Ittihad
37071180,Quilindschy Hartman,Burnley
2000220048,Chema Andrés,VfB Stuttgart
19162830,Alex Telles,BOT
37046467,Kevin Diks,Borussia M'gladbach
83103196,M'Bala Nzola,Sassuolo
2000276594,Josh King,Fulham
27107366,Victor Nelsson,Hellas Verona
2000288856,Axel Tape,Bayer 04 Leverkusen
2000108547,Amir Richardson,FC København
2000381365,Ayyoub Bouaddi,LOSC
37001836,Bruno Martins Indi,Sparta Rotterdam
28116305,Folarin Balogun,AS Monaco
76015366,Juan Fernando Quintero,River Plate
37079214,Anouar El Azzouzi,Fortuna Düsseldorf
49037694,Nathan Ngoumou,Borussia M'gladbach
37079110,Sidny Lopes Cabral,Benfica
14185869,Facundo Medina,Olympique de Marseille
37079089,Kian Fitz-Jim,Ajax
78079444,Nicolás de la Cruz,FLA
2000184216,Nicolò Tresoldi,Club Brugge
2000474101,Jeremy Monga,Leicester
36078367,Vasilis Barkas,FC Utrecht
91205184,Ransford Königsdörffer,Hamburger SV
39014574,Hörður Magnússon,Levadeiakos
42017841,Eli Dasa,N.E.C.
53146811,Hugo Vetlesen,Club Brugge
2000166604,Alex Freeman,Villarreal
49046358,Arthur Zagré,Excelsior
37072818,Souffian El Karouani,FC Utrecht
2000241381,Matvey Kislyak,CSKA Moscow
37072834,Dirk Proper,N.E.C.
91126295,Jesper Verlaat,TSV 1860 München
37001830,Roy Kortsmit,NAC Breda
37001833,Kostas Lamprou,NAC Breda
37045803,Soufyan Ahannach,Yacoub Mansour
37046275,Michael Verrips,Dender EH
37049343,Pelle Clement,Sparta Rotterdam
37084766,Ringo Meerveld,sc Heerenveen
51055829,Uriel Antuna,Pumas
76069073,Kevin Castaño,River Plate
37018923,Ola John,-
2000098012,Aleksandar Stanković,Club Brugge
37072289,Ilias Bronkhorst,Excelsior
93056768,Victor Edvardsen,Go Ahead Eagles
29041284,Josip Iličič,Koper
37061601,Ozan Kökcü,FC Volendam
59006085,Mirlan Murzaev,Bars
93053619,Othman El Kabir,-
37062010,Thomas Buitink,PEC Zwolle
37071912,Kevin Felida,FC Den Bosch
91128580,Oskar Zawada,FC Groningen
37084871,Derek Agyakwa,Volos
2000046143,Gabriël Misehouy,Aris
37062918,Juan Familia-Castillo,RKC Waalwijk
37084857,Daan Huisman,FC Eindhoven
2000125434,Kelly N'Mai,Salford
37041267,Abdel Malek el Hasnaoui,-
37013350,Iliass Bel Hassani,-
37049337,Adham El Idrissi,Titus Pétange
2000030121,Miliano Jonathans,Excelsior
37074295,Nordin Bakker,sc Heerenveen
2000017548,Bryant Nieling,Modena F.C.
63037865,Ivan Mesik,Heracles Almelo
15084942,Joe Gauci,Port Vale
37088088,Byron Burgering,Almere City
2000143577,Gijs Besselink,Willem II
2000181765,Julian Oerip,AZ
37061979,Cain Seedorf,Roda JC
2000010345,Nikky Goguadze,St. Pauli II
49055609,Maxence Rivera,sc Heerenveen
93140656,Casper Widell,Excelsior
37079465,Teun van Grunsven,FC Den Bosch
61070563,Kieran Tierney,Celtic
19351985,Natan,Real Hispalis
96102946,Jakub Kiwior,FC Porto
37071126,Tijjani Reijnders,Man City
67191910,Éric Bailly,Oviedo
67115823,Gerard Moreno,Villarreal
67046662,Mauro Icardi,Galatasaray
2000053516,Adam Wharton,Crystal Palace
89066513,Johnny Cardoso,A. Madrid
91190673,Josip Stanišić,FC Bayern München
29125265,Antonee Robinson,Fulham
62000307,Nemanja Matić,Sassuolo
37052470,Noussair Mazraoui,Man Utd
211232,Djéné Dakonam,Getafe
37008621,Luuk de Jong,FC Porto
59138294,Giorgi Mamardashvili,Liverpool
16279486,Karim Adeyemi,Borussia Dortmund
19334410,Matheus Cunha,Man Utd
91175868,Yann Aurel Bisseck,Blu-neri
43093171,Piotr Zieliński,Blu-neri
29141828,Ademola Lookman,A. Madrid
67178177,José Gayà,Valencia
29125842,Jarrod Bowen,West Ham
13181623,Pathé Ciss,Vallecano
55069796,Ricardo Horta,BRG
43272557,Davide Frattesi,Blu-neri
28108490,Jadon Sancho,Aston Villa
76043783,Cucho Hernández,Real Hispalis
67175052,Thomas Partey,Villarreal
34012563,Ivan Perišić,PSV
37005632,Daley Blind,Girona
91207274,Amadou Onana,Aston Villa
67157520,Álex Berenguer,A. Bilbao
48036643,Mouctar Diakhaby,Valencia
67011217,Diego Llorente,Real Hispalis
43195181,Umar Sadiq,Valencia
24003746,Ante Budimir,Atlético Pamplona
75000560,Gary Medel,Univ. Católica
37060600,Ferdi Kadıoğlu,Brighton
37053643,Gianluca Scamacca,Bergamo
19030933,Neto,BOT
14044037,Marcos Acuña,River Plate
92018043,Niclas Füllkrug,Casciavit
49052370,Azzedine Ounahi,Girona
28103591,Trevoh Chalobah,Chelsea
67276127,Nico González,Man City
29083750,Nick Pope,Newcastle
19259027,Renan Lodi,ATM
67276232,Aitor Paredes,A. Bilbao
16147660,Xaver Schlager,RB Leipzig
85141999,Presnel Kimpembe,Qatar SC
71108249,Heorhii Sudakov,Benfica
86045976,Pervis Estupiñán,Casciavit
27162493,Raphael Onyedika,Club Brugge
71101331,Mykhaylo Mudryk,Chelsea
29137172,Aaron Ramsdale,Newcastle
29141827,Ezri Konsa,Aston Villa
29115800,Joe Gomez,Liverpool
86047272,Yangel Herrera,Real San Sebastián
43093476,Federico Bernardeschi,Bologna
43140326,Alex Meret,Parthenope
25041687,Tomáš Souček,West Ham
76015950,Santiago Arias,Independiente
29156212,Robert Sánchez,Chelsea
28113414,Keane Lewis-Potter,Brentford
2000008568,Williot Swedberg,Vigo
18091791,Wilfred Ndidi,Beşiktaş
85079680,Aïssa Mandi,LOSC
43162321,Riccardo Orsolini,Bologna
19158787,Matheus,Crvena zvezda
24025298,Dominik Livaković,Dinamo
28121372,Ian Maatsen,Aston Villa
55061470,Nélson Semedo,Fenerbahçe
67269484,Samuel Chukwueze,Fulham
2000183231,Franco Mastantuono,R. Madrid
70112874,Barış Alper Yılmaz,Galatasaray
72048035,Weston McKennie,Juventus
78001113,Fernando Muslera,Estudiantes (LP)
92056834,Mark Flekken,Bayer 04 Leverkusen
28126249,James McAtee,Nott'm Forest
78067241,Nahitan Nández,Al-Qadsiah
62113639,Luka Jović,AEK
62096282,Aleksandar Mitrović,Al-Rayyan
78076343,Mathías Olivera,Parthenope
62082823,Andrija Živković,PAOK
29074544,Tyrone Mings,Aston Villa
62076152,Predrag Rajković,Al-Ittihad
2000049425,Omar El Hilali,Espanyol
2000375662,Lennart Karl,FC Bayern München
61089387,Aaron Hickey,Brentford
78084541,Manuel Ugarte,Man Utd
29114989,Jonathan Bamba,Chicago
91208050,Kevin Schade,Brentford
76023654,Mateus Uribe,Atlético Nacional
744539,João Moutinho,BRG
2000094208,Obed Vargas,A. Madrid
62220026,Strahinja Pavlović,Casciavit
28049754,Ben Davies,Spurs
29147447,Matty Cash,Aston Villa
91143714,Maximilian Mittelstädt,VfB Stuttgart
47064795,Eljif Elmas,Parthenope
14042683,Joaquín Correa,BOT
75000261,Alexis Sánchez,Sevilla
37041773,Robin Gosens,Fiorentina
27069975,Joachim Andersen,Fulham
83228802,Fábio Silva,Borussia Dortmund
37046941,Hans Hateboer,OL
43266774,Matteo Gabbia,Casciavit
12078947,Wilfried Singo,Galatasaray
72046884,Matt Turner,New England
91206164,Malick Thiaw,Newcastle
62070416,Filip Kostić,Juventus
85023676,Thorgan Hazard,RSC Anderlecht
2000101285,Nico O'Reilly,Man City
91108809,Hany Mukhtar,Nashville
43036586,Leonardo Spinazzola,Parthenope
72038786,Walker Zimmerman,Toronto FC
43017197,Pierre-Emerick Aubameyang,Olympique de Marseille
43026579,Marco Verratti,Al-Duhail
43036636,Stephan El Shaarawy,AS Roma
43061433,Davide Zappacosta,Bergamo
43079181,Juri Cisotti,FCSB
43083931,Daniele Rugani,Fiorentina
43083951,Elseid Hysaj,Celesti
43094150,Ivan Provedel,Celesti
43295110,Raoul Bellanova,Bergamo
43409366,Lorenzo Lucca,Nott'm Forest
45005560,Takashi Inui,Shimizu
950975,Radamel Falcao,Millonarios F.C.
29000737,Aaron Ramsey,-
29055569,James Tarkowski,Everton
29061164,Dan Burn,Newcastle
29080394,Adam Webster,Brighton
29090530,Solly March,Brighton
29114971,Corentin Tolisso,OL
67200930,Gorka Guruzeta,A. Bilbao
72045910,Jack Harrison,Fiorentina
25055083,Ladislav Krejčí,Wolves
28106878,Marcus Edwards,Burnley
53113114,Julian Ryerson,Borussia Dortmund
61042900,Ryan Christie,Bournemouth
67142868,Samu Castillejo,Johor DT
91194540,Anton Stach,Leeds
51054788,Alexis Vega,Toluca
67277845,Borja Sainz,FC Porto
18054092,Adnan Januzaj,Sevilla
19273277,Dodo,Fiorentina
86017618,Darwin Machís,América de Cali
75000479,Marcelo Díaz,Univ. de Chile
18057323,Chancel Mbemba,LOSC
49048461,Lucien Agoumé,Sevilla
67053461,Iván Balliu,Vallecano
62124117,Saša Lukić,Fulham
49039003,Logan Costa,Villarreal
67085965,Suso,Cádiz
85145148,Jonathan Ikoné,Paris FC
2000124287,Jack Hinshelwood,Brighton
85063747,Florian Lejeune,Vallecano
24053458,Lovro Majer,VfL Wolfsburg
2000024341,Arthur Atta,Udinese
85050636,Alassane Pléa,PSV
85045209,Jonathan Clauss,OGC Nice
